session_swing,max_rfx,min_rfx,max_rfy,min_rfy,max_rfz,min_rfz,max_lfx,min_lfx,max_lfy,min_lfy,max_lfz,min_lfz,range_rfx,range_rfy,range_rfz,range_lfx,range_lfy,range_lfz
190_2,185.9577,-305.3538,307.4459,-147.1546,995.4659,-6.7226,71.0678,-737.1086,206.0945,-380.7587,1884.5889,-0.6159,491.31149999999997,454.6005,1002.1885,808.1764000000001,586.8532,1885.2048
190_3,269.0258,-196.7001,352.0567,-182.102,1051.3069,39.7339,63.1019,-623.8718,191.7112,-300.6809,1592.7561,-6.4347,465.7259,534.1587,1011.5730000000001,686.9737,492.3921,1599.1908
190_4,222.0558,-226.5636,354.1254,-106.7552,1035.6283,37.6013,71.8367,-674.8514,199.9655,-355.4611,1744.9419,-4.8995,448.61940000000004,460.8806,998.027,746.6881,555.4266,1749.8414
190_5,199.5586,-239.6442,294.4906,-118.1295,1073.7441,26.8196,82.4948,-778.4305,212.5564,-407.4842,2039.6537,-5.03,439.2028,412.6201,1046.9244999999999,860.9253000000001,620.0406,2044.6837
190_6,212.9328,-220.0266,343.119,-296.0441,1045.6886,19.3045,89.3705,-683.5718,188.0593,-243.192,1727.5217,-5.2238,432.95939999999996,639.1631,1026.3841,772.9423,431.2513,1732.7455
190_7,213.222,-211.2075,321.7604,-256.2932,1092.5841,33.1438,110.5864,-769.3727,189.4267,-313.1983,1751.7231,-4.1726,424.4295,578.0536,1059.4403,879.9591,502.625,1755.8957
190_8,202.9481,-289.0781,289.2732,-214.1477,1054.5793,-19.7749,95.6773,-842.6108,214.9543,-390.4983,1985.5106,-8.7447,492.0262,503.42089999999996,1074.3542,938.2881,605.4526,1994.2553
198_1,201.8262,-163.7591,189.3103,-70.1749,705.5961,-21.6748,143.5895,-676.2232,171.8736,-356.8403,1417.6872,-1.9217,365.58529999999996,259.4852,727.2709,819.8127,528.7139,1419.6089000000002
198_2,204.9121,-138.0623,183.3198,-85.3817,714.8509,-15.9884,127.9185,-698.122,194.4769,-296.1028,1414.3022,-2.0634,342.9744,268.7015,730.8393,826.0405,490.5797,1416.3656
198_3,203.907,-106.8229,187.2913,-44.167,753.7989,-6.2888,143.9551,-615.9485,148.5384,-336.5701,1356.2292,-3.5855,310.72990000000004,231.4583,760.0877,759.9036,485.10850000000005,1359.8147
198_4,205.1284,-124.3609,200.8026,-64.9314,739.88,-4.9194,128.6399,-626.9996,165.856,-374.8928,1327.7302,-1.385,329.4893,265.73400000000004,744.7994,755.6395,540.7488000000001,1329.1152
